"","word","n"
"1363","#funinthesun",2
"1364","#funnymemes",2
"1365","#geeky",2
"1366","#gobeavs",2
"1367","#golf",2
"1368","#gotham",2
"1369","#graffiti",2
"1370","#granite",2
"1371","#granitemountain",2
"1372","#greatwhitenorth",2
"1373","#grosmorne",2
"1374","#growsocial",2
"1375","#gta",2
"1376","#guelph",2
"1377","#handma",2
"1378","#happycanadaday#ohcanada#canadaday2019",2
"1379","#happyday",2
"1380","#happymonday",2
"1381","#healthandsafety",2
"1382","#healthylifestyle",2
"1383","#hellojuly",2
"1384","#hike",2
"1385","#hiking",2
"1386","#holidayhours",2
"1387","#hooterstv",2
"1388","#horseraces",2
"1389","#hotels",2
"1390","#hsconf",2
"1391","#icecream",2
"1392","#igcanada_",2
"1393","#igerscanada#dominionday",2
"1394","#indigous",2
"1395","#interior",2
"1396","#jointhetradition#ohcanada",2
"1397","#joyeusefteducanada",2
"1398","#july1st2019",2
"1399","#julylong",2
"1400","#kamloops",2
"1401","#kawhiwatch",2
"1402","#ke",2
"1403","#keepittight#ohcanada",2
"1404","#ketime",2
"1405","#kitch",2
"1406","#kitcher",2
"1407","#kokakia",2
"1408","#kootays",2
"1409","#kootrocks",2
"1410","#kootzrootz",2
"1411","#kw",2
"1412","#learnsomethingnew",2
"1413","#letspycanada",2
"1414","#letspycanadajoyeuse",2
"1415","#letterkny",2
"1416","#lifeisgood",2
"1417","#like4likes",2
"1418","#livelovecanada",2
"1419","#localbusiness",2
"1420","#lock",2
